language,condition,n,CER,ci_low,ci_high,matplotlib,python,platform,tesseract
ara,A_no_fix,200,0.0107,0.0025,0.0207,3.11.0,3.14.0,Windows-10,5.5.3.20260724
ara,B_simple_fix,200,0.8387,0.8128,0.8627,3.11.0,3.14.0,Windows-10,5.5.3.20260724
ara,C_full_shaping,200,0.012,0.0026,0.0238,3.11.0,3.14.0,Windows-10,5.5.3.20260724
ara,YOUR_PACKAGE,200,0.0131,0.0033,0.0253,3.11.0,3.14.0,Windows-10,5.5.3.20260724
ara,OCR_FLOOR,200,0.021,0.0082,0.036,3.11.0,3.14.0,Windows-10,5.5.3.20260724
ara,B_minus_C,200,0.8267,,p=0.000,3.11.0,3.14.0,Windows-10,5.5.3.20260724
