language,condition,n,CER,ci_low,ci_high,matplotlib,python,platform,tesseract
heb,A_no_fix,200,0.1472,0.1154,0.1801,3.11.0,3.14.0,Windows-10,5.5.3.20260724
heb,B_simple_fix,200,0.838,0.8161,0.859,3.11.0,3.14.0,Windows-10,5.5.3.20260724
heb,C_full_shaping,200,0.1347,0.1038,0.1676,3.11.0,3.14.0,Windows-10,5.5.3.20260724
heb,YOUR_PACKAGE,200,0.1355,0.1034,0.1693,3.11.0,3.14.0,Windows-10,5.5.3.20260724
heb,OCR_FLOOR,200,0.2356,0.2002,0.2727,3.11.0,3.14.0,Windows-10,5.5.3.20260724
heb,B_minus_C,200,0.7033,,p=0.000,3.11.0,3.14.0,Windows-10,5.5.3.20260724
