language,condition,n,CER,ci_low,ci_high,matplotlib,python,platform,tesseract
urd,A_no_fix,200,0.3438,0.3004,0.3877,3.11.0,3.14.0,Windows-10,5.5.3.20260724
urd,B_simple_fix,200,0.9812,0.9729,0.9887,3.11.0,3.14.0,Windows-10,5.5.3.20260724
urd,C_full_shaping,200,0.3511,0.3073,0.398,3.11.0,3.14.0,Windows-10,5.5.3.20260724
urd,YOUR_PACKAGE,200,0.3608,0.3182,0.4048,3.11.0,3.14.0,Windows-10,5.5.3.20260724
urd,OCR_FLOOR,200,0.3744,0.3314,0.4174,3.11.0,3.14.0,Windows-10,5.5.3.20260724
urd,B_minus_C,200,0.6302,,p=0.000,3.11.0,3.14.0,Windows-10,5.5.3.20260724
